[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 16:24:35.161	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/utils/claims.go:49	重新写入cookie token失败,未能成功解析token,请检查请求头是否存在x-token且claims是否为规定结构
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 16:38:53.623	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:57	登陆失败! 用户名不存在或者密码错误!	{"error": "db not init"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 17:27:43.378	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:504	登陆失败! 用户名不存在或者密码错误!	{"error": "record not found"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 17:29:22.452	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/utils/claims.go:49	重新写入cookie token失败,未能成功解析token,请检查请求头是否存在x-token且claims是否为规定结构
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 17:47:19.829	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:190	修改失败!	{"error": "原密码错误"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 17:47:36.371	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:504	登陆失败! 用户名不存在或者密码错误!	{"error": "密码错误"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 17:47:49.560	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:57	登陆失败! 用户名不存在或者密码错误!	{"error": "密码错误"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 18:29:11.579	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:540	登陆失败! 用户名不存在或者密码错误!	{"error": "password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 18:33:27.267	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:190	修改失败!	{"error": "Error 1292 (22007): Incorrect date value: '0000-00-00' for column 'birthday' at row 1"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 18:33:53.026	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:57	登陆失败! 用户名不存在或者密码错误!	{"error": "password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 18:34:29.749	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:57	登陆失败! 用户名不存在或者密码错误!	{"error": "password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 18:35:05.808	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:190	修改失败!	{"error": "old password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 18:35:16.465	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:190	修改失败!	{"error": "Error 1292 (22007): Incorrect date value: '0000-00-00' for column 'birthday' at row 1"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 18:35:21.227	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:190	修改失败!	{"error": "old password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 18:35:25.926	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:190	修改失败!	{"error": "old password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 18:35:34.094	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:57	登陆失败! 用户名不存在或者密码错误!	{"error": "password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 18:35:53.924	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:540	登陆失败! 用户名不存在或者密码错误!	{"error": "password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 18:35:56.360	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:540	登陆失败! 用户名不存在或者密码错误!	{"error": "password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 18:36:20.106	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:190	修改失败!	{"error": "Error 1292 (22007): Incorrect date value: '0000-00-00' for column 'birthday' at row 1"}
